"filename", "language", "YAML", "JSON with Comments", "Markdown", "HTML", "JSON", "JavaScript", "TypeScript JSX", "CSS", "TypeScript", "XML", "Shell Script", "Ignore", "SCSS", "Gradle", "Java Properties", "Batch", "Java", "Ruby", "Docker", "Swift", "Objective-C", "MS SQL", "comment", "blank", "total"
"/home/adil/Life_OS_v2/assistant/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"/home/adil/Life_OS_v2/assistant/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 214
"/home/adil/Life_OS_v2/assistant/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/home/adil/Life_OS_v2/assistant/components/ui/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 242
"/home/adil/Life_OS_v2/assistant/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 354
"/home/adil/Life_OS_v2/assistant/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/home/adil/Life_OS_v2/assistant/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/home/adil/Life_OS_v2/assistant/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 185
"/home/adil/Life_OS_v2/assistant/components/ui/context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 253
"/home/adil/Life_OS_v2/assistant/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 144
